Date,07-06-21,
Time,09:39:50,
Y_Unit_Label,Voltage (V),
X_Dimension,Time (s),
X0,39:50.3,
Delta_X,0.001,
***End_of_Header***,,
X_Value,Voltage - Dev3_ai0,Comment
0,-0.003711,
0.001,-0.004441,
0.002,-0.003653,
0.003,-0.002083,
0.004,0.00011,
0.005,0.000599,
0.006,0.003552,
0.007,0.002893,
0.008,0.001583,
0.009,0.000229,
0.01,0.00112,
0.011,-0.000655,
0.012,7.32E-06,
0.013,0.000509,
0.014,0.001722,
0.015,0.002828,
0.016,0.001455,
0.017,0.001365,
0.018,-9.24E-05,
0.019,-0.001726,
0.02,-0.003756,
0.021,-0.00318,
0.022,-0.003894,
0.023,-0.001791,
0.024,2.98E-05,
0.025,0.001143,
0.026,0.002992,
0.027,0.002185,
0.028,0.000599,
0.029,0.001365,
0.03,-0.000289,
0.031,-0.000227,
0.032,-0.000308,
0.033,-0.001746,
0.034,-0.000115,
0.035,0.001323,
0.036,0.002532,
0.037,0.001715,
0.038,0.001111,
0.039,-0.000633,
0.04,-0.002498,
0.041,-0.003229,
0.042,-0.004563,
0.043,-0.004132,
0.044,-0.001604,
0.045,-1.52E-05,
0.046,0.002809,
0.047,0.003134,
0.048,0.002471,
0.049,0.002159,
0.05,0.000985,
0.051,-6.34E-05,
0.052,-0.000488,
0.053,-0.001385,
0.054,1.70E-05,
0.055,0.001413,
0.056,0.001921,
0.057,0.001452,
0.058,0.001394,
0.059,-0.000523,
0.06,-0.00218,
0.061,-0.00329,
0.062,-0.00474,
0.063,-0.003203,
0.064,-0.001504,
0.065,-0.0008,
0.066,0.002368,
0.067,0.002886,
0.068,0.002388,
0.069,0.002314,
0.07,0.001432,
0.071,-0.000311,
0.072,-0.000855,
0.073,-0.000987,
0.074,-0.000224,
0.075,0.001796,
0.076,0.001741,
0.077,0.002047,
0.078,0.001275,
0.079,-0.001434,
0.08,-0.00244,
0.081,-0.003936,
0.082,-0.004457,
0.083,-0.003734,
0.084,-0.001755,
0.085,0.000159,
0.086,0.003922,
0.087,0.002449,
0.088,0.002323,
0.089,0.001989,
0.09,0.000828,
0.091,-0.000974,
0.092,-0.000897,
0.093,0.000258,
0.094,-0.000273,
0.095,0.00139,
0.096,0.001638,
0.097,0.001809,
0.098,0.000918,
0.099,-0.000671,
0.1,-0.002132,
0.101,-0.002865,
0.102,-0.004203,
0.103,-0.004846,
0.104,-0.000916,
0.105,-0.000363,
0.106,0.001912,
0.107,0.003028,
0.108,0.002941,
0.109,0.002021,
0.11,0.00095,
0.111,-0.000289,
0.112,0.000136,
0.113,-0.0009,
0.114,0.000419,
0.115,0.001101,
0.116,0.002729,
0.117,0.001516,
0.118,0.001876,
0.119,-0.001305,
0.12,-0.00164,
0.121,-0.003566,
0.122,-0.003055,
0.123,-0.002907,
0.124,-0.001649,
0.125,-0.000237,
0.126,0.001654,
0.127,0.002281,
0.128,0.001834,
0.129,0.002072,
0.13,0.000959,
0.131,-0.000266,
0.132,-0.000308,
0.133,-0.000437,
0.134,0.00011,
0.135,0.001841,
0.136,0.00068,
0.137,0.001275,
0.138,0.001503,
0.139,-0.000575,
0.14,-0.001881,
0.141,-0.003216,
0.142,-0.004094,
0.143,-0.002807,
0.144,-0.001437,
0.145,-0.000115,
0.146,0.000789,
0.147,0.002108,
0.148,0.001857,
0.149,0.002629,
0.15,0.000963,
0.151,0.00059,
0.152,-0.000154,
0.153,-0.000462,
0.154,0.000828,
0.155,0.000583,
0.156,0.001413,
0.157,0.001625,
0.158,0.000644,
0.159,3.63E-05,
0.16,-0.002408,
0.161,-0.003142,
0.162,-0.003212,
0.163,-0.002791,
0.164,-0.001665,
0.165,-0.000353,
0.166,0.001236,
0.167,0.002191,
0.168,0.001098,
0.169,0.001487,
0.17,0.001297,
0.171,8.89E-07,
0.172,0.000159,
0.173,0.000171,
0.174,0.000914,
0.175,0.001284,
0.176,0.000358,
0.177,0.000692,
0.178,0.001519,
0.179,-0.001012,
0.18,-0.003019,
0.181,-0.002698,
0.182,-0.003325,
0.183,-0.001643,
0.184,-0.001498,
0.185,-0.000215,
0.186,0.0003,
0.187,0.001731,
0.188,0.001513,
0.189,0.002175,
0.19,0.000918,
0.191,0.000387,
0.192,0.000197,
0.193,-0.000147,
0.194,0.001085,
0.195,0.000795,
0.196,0.000763,
0.197,0.000834,
0.198,0.000477,
0.199,-0.001247,
0.2,-0.00227,
0.201,-0.00218,
0.202,-0.001849,
0.203,-0.002685,
0.204,-0.001768,
0.205,2.02E-05,
0.206,0.001558,
0.207,0.002137,
0.208,0.001535,
0.209,0.001493,
0.21,0.001294,
0.211,0.000384,
0.212,0.000818,
0.213,0.000345,
0.214,0.001323,
0.215,0.001046,
0.216,-3.13E-05,
0.217,0.000239,
0.218,0.000422,
0.219,-0.001527,
0.22,-0.00245,
0.221,-0.001572,
0.222,-0.001942,
0.223,-0.001894,
0.224,-0.002347,
0.225,-0.000343,
0.226,0.00059,
0.227,0.001776,
0.228,0.001021,
0.229,0.001696,
0.23,0.001461,
0.231,0.001053,
0.232,0.000651,
0.233,-0.00016,
0.234,0.001313,
0.235,0.001284,
0.236,3.31E-05,
0.237,0.00066,
0.238,-0.000218,
0.239,-0.000771,
0.24,-0.001016,
0.241,-0.002032,
0.242,-0.002305,
0.243,-0.001916,
0.244,-0.001106,
0.245,-0.000414,
0.246,0.000815,
0.247,0.001513,
0.248,0.001561,
0.249,0.001603,
0.25,0.002336,
0.251,0.001304,
0.252,0.002259,
0.253,0.000644,
0.254,0.001297,
0.255,0.001098,
0.256,0.000516,
0.257,-0.000665,
0.258,-0.000224,
0.259,-0.000977,
0.26,-0.00164,
0.261,-0.001762,
0.262,-0.000604,
0.263,-0.001225,
0.264,-0.00118,
0.265,-0.000691,
0.266,0.000435,
0.267,0.000541,
0.268,0.00113,
0.269,0.002236,
0.27,0.001645,
0.271,0.001725,
0.272,0.001223,
0.273,0.001265,
0.274,0.001519,
0.275,0.001107,
0.276,0.000191,
0.277,-0.000163,
0.278,-0.000301,
0.279,-0.001595,
0.28,-0.002022,
0.281,-0.002087,
0.282,-0.001807,
0.283,-0.0008,
0.284,-0.001209,
0.285,-4.09E-05,
0.286,-0.000202,
0.287,-0.000221,
0.288,0.001095,
0.289,0.001114,
0.29,0.001587,
0.291,0.001854,
0.292,0.001632,
0.293,0.001223,
0.294,0.000689,
0.295,0.001365,
0.296,-0.00034,
0.297,-0.001543,
0.298,-0.000787,
0.299,-0.001382,
0.3,-0.00136,
0.301,-0.002724,
0.302,-0.001118,
0.303,-0.001044,
0.304,-0.000539,
0.305,-0.001054,
0.306,-4.41E-05,
0.307,0.000583,
0.308,0.000342,
0.309,0.001304,
0.31,0.002098,
0.311,0.001989,
0.312,0.002092,
0.313,0.001773,
0.314,0.001149,
0.315,0.000184,
0.316,-0.000466,
0.317,-0.00117,
0.318,-0.001382,
0.319,-0.00116,
0.32,-0.000999,
0.321,-0.000539,
0.322,-0.001617,
0.323,0.000107,
0.324,3.95E-05,
0.325,-0.001241,
0.326,-0.000459,
0.327,-3.77E-05,
0.328,0.000869,
0.329,0.000779,
0.33,0.002236,
0.331,0.002574,
0.332,0.003443,
0.333,0.001381,
0.334,0.000921,
0.335,0.001342,
0.336,-0.001504,
0.337,-0.001556,
0.338,-0.001501,
0.339,-0.001865,
0.34,-0.001884,
0.341,-0.000491,
0.342,-0.000485,
0.343,0.000142,
0.344,-0.0007,
0.345,-0.001093,
0.346,-0.000848,
0.347,-0.000273,
0.348,-2.48E-05,
0.349,0.001249,
0.35,0.002429,
0.351,0.002127,
0.352,0.002561,
0.353,0.002246,
0.354,0.00176,
0.355,0.000609,
0.356,-0.000546,
0.357,-0.001926,
0.358,-0.001923,
0.359,-0.001549,
0.36,-0.001154,
0.361,-0.000218,
0.362,-0.000691,
0.363,0.000303,
0.364,-0.000446,
0.365,-0.001234,
0.366,-0.001086,
0.367,-0.000321,
0.368,0.0004,
0.369,0.001259,
0.37,0.001982,
0.371,0.002474,
0.372,0.00296,
0.373,0.002294,
0.374,0.00139,
0.375,0.000429,
0.376,-0.00081,
0.377,-0.002482,
0.378,-0.002395,
0.379,-0.001961,
0.38,-0.000897,
0.381,-8.27E-05,
0.382,-0.000359,
0.383,-8.60E-05,
0.384,-0.00043,
0.385,-0.000832,
0.386,-0.000787,
0.387,-0.001022,
0.388,9.74E-05,
0.389,0.00149,
0.39,0.002285,
0.391,0.002793,
0.392,0.00397,
0.393,0.002603,
0.394,0.001384,
0.395,-0.000668,
0.396,-0.001469,
0.397,-0.002074,
0.398,-0.002325,
0.399,-0.002029,
0.4,-0.0019,
0.401,-0.000179,
0.402,-0.000675,
0.403,0.000554,
0.404,-0.000855,
0.405,-0.001209,
0.406,-0.000938,
0.407,-0.000765,
0.408,-0.000379,
0.409,0.000744,
0.41,0.001481,
0.411,0.002803,
0.412,0.003912,
0.413,0.002323,
0.414,0.00195,
0.415,0.000522,
0.416,-0.001476,
0.417,-0.002711,
0.418,-0.002579,
0.419,-0.002206,
0.42,-0.000819,
0.421,0.000242,
0.422,0.000461,
0.423,-0.00024,
0.424,-0.001283,
0.425,-0.001659,
0.426,-0.001546,
0.427,-0.001012,
0.428,-0.000613,
0.429,0.000805,
0.43,0.002191,
0.431,0.003182,
0.432,0.003565,
0.433,0.003246,
0.434,0.002281,
0.435,1.05E-05,
0.436,-0.001771,
0.437,-0.002469,
0.438,-0.00255,
0.439,-0.002978,
0.44,-0.000694,
0.441,0.000406,
0.442,0.000982,
0.443,0.000583,
0.444,-0.000684,
0.445,-0.001231,
0.446,-0.001498,
0.447,-0.000983,
0.448,-0.001167,
0.449,0.000789,
0.45,0.002709,
0.451,0.003034,
0.452,0.003687,
0.453,0.002722,
0.454,0.001937,
0.455,0.00031,
0.456,-0.002141,
0.457,-0.003077,
0.458,-0.002553,
0.459,-0.000993,
0.46,-0.000732,
0.461,-0.000578,
0.462,0.000921,
0.463,2.02E-05,
0.464,-0.001443,
0.465,-0.001517,
0.466,-0.001553,
0.467,-0.000173,
0.468,-0.000832,
0.469,0.000918,
0.47,0.002368,
0.471,0.003481,
0.472,0.004363,
0.473,0.003353,
0.474,0.001719,
0.475,0.000477,
0.476,-0.001221,
0.477,-0.003791,
0.478,-0.002794,
0.479,-0.002563,
0.48,-0.000211,
0.481,0.00012,
0.482,0.000828,
0.483,-6.67E-05,
0.484,-0.000221,
0.485,-0.001366,
0.486,-0.002473,
0.487,-0.0018,
0.488,-0.000794,
0.489,-2.33E-06,
0.49,0.001992,
0.491,0.002803,
0.492,0.003928,
0.493,0.002799,
0.494,0.002127,
0.495,0.00011,
0.496,-0.002347,
0.497,-0.002775,
0.498,-0.00283,
0.499,-0.002897,
0.5,-0.000501,
0.501,0.000332,
0.502,-0.000208,
0.503,0.001596,
0.504,-0.000459,
0.505,-0.003261,
0.506,-0.002801,
0.507,-0.001385,
0.508,-0.000536,
0.509,0.000844,
0.51,0.002568,
0.511,0.003983,
0.512,0.003214,
0.513,0.003369,
0.514,0.001812,
0.515,-0.000704,
0.516,-0.00143,
0.517,-0.003052,
0.518,-0.002897,
0.519,-0.00182,
0.52,-0.000636,
0.521,-0.000157,
0.522,0.00085,
0.523,0.001297,
0.524,-0.000549,
0.525,-0.001955,
0.526,-0.001858,
0.527,-0.002331,
0.528,-0.00181,
0.529,0.001101,
0.53,0.002153,
0.531,0.003816,
0.532,0.002449,
0.533,0.00279,
0.534,0.001596,
0.535,0.000467,
0.536,-0.00319,
0.537,-0.003325,
0.538,-0.002942,
0.539,-0.001804,
0.54,-0.000665,
0.541,0.001049,
0.542,0.001024,
0.543,-0.000199,
0.544,-8.76E-06,
0.545,-0.001533,
0.546,-0.002338,
0.547,-0.00172,
0.548,-0.000424,
0.549,0.00011,
0.55,0.002285,
0.551,0.003639,
0.552,0.004018,
0.553,0.00323,
0.554,0.002291,
0.555,-0.00017,
0.556,-0.000144,
0.557,-0.003161,
0.558,-0.002826,
0.559,-0.002093,
0.56,-0.00061,
0.561,0.000882,
0.562,0.000882,
0.563,0.000448,
0.564,7.32E-06,
0.565,-0.001813,
0.566,-0.001495,
0.567,-0.00171,
0.568,-0.001672,
0.569,0.001558,
0.57,0.002343,
0.571,0.003613,
0.572,0.004211,
0.573,0.004353,
0.574,0.001844,
0.575,0.000734,
0.576,-0.002161,
0.577,-0.002991,
0.578,-0.00245,
0.579,-0.002595,
0.58,-0.000147,
0.581,0.000995,
0.582,0.000113,
0.583,8.45E-05,
0.584,-0.00062,
0.585,-0.001308,
0.586,-0.001919,
0.587,-0.001781,
0.588,-0.001459,
0.589,0.001403,
0.59,0.002777,
0.591,0.003533,
0.592,0.004289,
0.593,0.003584,
0.594,0.002201,
0.595,9.10E-05,
0.596,-0.001726,
0.597,-0.003299,
0.598,-0.003393,
0.599,-0.002476,
0.6,0.000339,
0.601,0.0002,
0.602,0.000339,
0.603,0.000548,
0.604,-0.000433,
0.605,-0.001257,
0.606,-0.001913,
0.607,-0.001344,
0.608,-0.000761,
0.609,0.000429,
0.61,0.00241,
0.611,0.003185,
0.612,0.003665,
0.613,0.002989,
0.614,0.001561,
0.615,-3.77E-05,
0.616,-0.001633,
0.617,-0.002884,
0.618,-0.002514,
0.619,-0.002672,
0.62,-0.001038,
0.621,0.001101,
0.622,-4.74E-05,
0.623,0.000454,
0.624,-0.000327,
0.625,-0.001549,
0.626,-0.001755,
0.627,-0.00145,
0.628,-0.000273,
0.629,0.000493,
0.63,0.002137,
0.631,0.003291,
0.632,0.004324,
0.633,0.002352,
0.634,0.002153,
0.635,-0.000414,
0.636,-0.001234,
0.637,-0.002395,
0.638,-0.002058,
0.639,-0.00208,
0.64,-0.000478,
0.641,0.000474,
0.642,0.000664,
0.643,-0.000157,
0.644,-0.000227,
0.645,-0.000408,
0.646,-0.00117,
0.647,-0.002122,
0.648,-0.001102,
0.649,0.000654,
0.65,0.002294,
0.651,0.002857,
0.652,0.003211,
0.653,0.003053,
0.654,0.001918,
0.655,0.00029,
0.656,-0.002003,
0.657,-0.002055,
0.658,-0.0029,
0.659,-0.001717,
0.66,-9.88E-05,
0.661,0.000287,
0.662,0.000406,
0.663,0.000413,
0.664,-0.00053,
0.665,-0.000858,
0.666,-0.002026,
0.667,-0.00109,
0.668,-0.001106,
0.669,0.001554,
0.67,0.00169,
0.671,0.002896,
0.672,0.00323,
0.673,0.002323,
0.674,0.001361,
0.675,-5.06E-05,
0.676,-0.00135,
0.677,-0.002923,
0.678,-0.001887,
0.679,-0.002244,
0.68,-0.001614,
0.681,-0.000289,
0.682,-7.63E-05,
0.683,-0.000211,
0.684,-0.000182,
0.685,-0.000556,
0.686,-0.001476,
0.687,-0.000945,
0.688,-0.000311,
0.689,0.000297,
0.69,0.00068,
0.691,0.002622,
0.692,0.002388,
0.693,0.002635,
0.694,0.001448,
0.695,-7.63E-05,
0.696,-0.001305,
0.697,-0.001784,
0.698,-0.001935,
0.699,-0.001263,
0.7,-0.001665,
0.701,-0.000794,
0.702,-0.001006,
0.703,-0.000925,
0.704,-0.001389,
0.705,-0.000877,
0.706,-0.001212,
0.707,0.000618,
0.708,0.000197,
0.709,0.000747,
0.71,0.001966,
0.711,0.002429,
0.712,0.002799,
0.713,0.002979,
0.714,0.001487,
0.715,0.002098,
0.716,-0.000942,
0.717,-0.001804,
0.718,-0.001357,
0.719,-0.000897,
0.72,-0.000938,
0.721,7.17E-05,
0.722,-0.000707,
0.723,-0.000466,
0.724,-0.000893,
0.725,-0.000687,
0.726,-0.000803,
0.727,-0.000263,
0.728,-0.000514,
0.729,0.001622,
0.73,0.001304,
0.731,0.001268,
0.732,0.003941,
0.733,0.001603,
0.734,0.001702,
0.735,0.000432,
0.736,-0.000556,
0.737,-0.001295,
0.738,-0.000852,
0.739,-0.001595,
0.74,-0.001106,
0.741,-0.00116,
0.742,-0.001106,
0.743,-0.000922,
0.744,-0.000466,
0.745,-0.000559,
0.746,-0.000282,
0.747,0.000503,
0.748,3.31E-05,
0.749,0.001069,
0.75,0.001844,
0.751,0.002462,
0.752,0.002471,
0.753,0.001574,
0.754,0.001207,
0.755,0.001677,
0.756,-0.000398,
0.757,-0.000893,
0.758,-0.000858,
0.759,-0.000594,
0.76,-0.000494,
0.761,-0.001575,
0.762,-0.000835,
0.763,-0.001636,
0.764,-0.000671,
0.765,-0.001266,
0.766,-0.000687,
0.767,0.000676,
0.768,5.88E-05,
0.769,0.001371,
0.77,0.001957,
0.771,0.002053,
0.772,0.001934,
0.773,0.001632,
0.774,0.000551,
0.775,0.000606,
0.776,0.0004,
0.777,-0.000469,
0.778,-0.001578,
0.779,-0.00063,
0.78,-0.001176,
0.781,-0.001678,
0.782,-0.000231,
0.783,-0.001907,
0.784,-0.000559,
0.785,-0.000585,
0.786,-0.000253,
0.787,0.000789,
0.788,0.00066,
0.789,0.001271,
0.79,0.001458,
0.791,0.001021,
0.792,0.001361,
0.793,0.001532,
0.794,0.001789,
0.795,2.66E-05,
0.796,0.000287,
0.797,-0.001205,
0.798,-0.000568,
0.799,-0.001533,
0.8,-0.00125,
0.801,-0.001849,
0.802,-0.001459,
0.803,-0.001549,
0.804,-0.000909,
0.805,-0.000224,
0.806,-0.000395,
0.807,0.001603,
0.808,0.001744,
0.809,0.001506,
0.81,0.001162,
0.811,0.00085,
0.812,0.000657,
0.813,0.001426,
0.814,0.000413,
0.815,0.000525,
0.816,0.000647,
0.817,-0.000154,
0.818,-0.001093,
0.819,-0.00136,
0.82,-0.000999,
0.821,-0.001492,
0.822,-0.002511,
0.823,-0.002868,
0.824,-0.000121,
0.825,-0.000646,
0.826,0.001316,
0.827,0.001239,
0.828,0.001259,
0.829,0.001345,
0.83,0.001471,
0.831,0.001706,
0.832,0.000792,
0.833,0.000583,
0.834,0.00077,
0.835,0.000789,
0.836,0.000795,
0.837,-9.56E-05,
0.838,0.000467,
0.839,-0.000983,
0.84,-0.001646,
0.841,-0.001845,
0.842,-0.002531,
0.843,-0.003161,
0.844,-0.001453,
0.845,0.00031,
0.846,0.001378,
0.847,0.001937,
0.848,0.001117,
0.849,0.001461,
0.85,0.001329,
0.851,0.000802,
0.852,0.000152,
0.853,0.000528,
0.854,0.000895,
0.855,0.000786,
0.856,0.001252,
0.857,0.000532,
0.858,0.000824,
0.859,-0.000826,
0.86,-0.002289,
0.861,-0.002489,
0.862,-0.003348,
0.863,-0.002145,
0.864,-0.001302,
0.865,-3.13E-05,
0.866,0.001307,
0.867,0.001082,
0.868,0.001686,
0.869,0.001632,
0.87,0.001487,
0.871,0.000844,
0.872,2.66E-05,
0.873,-0.001283,
0.874,0.00085,
0.875,0.001088,
0.876,0.00048,
0.877,0.001127,
0.878,0.000924,
0.879,-0.000858,
0.88,-0.002547,
0.881,-0.002556,
0.882,-0.002704,
0.883,-0.003036,
0.884,-0.001421,
0.885,-0.000337,
0.886,0.001062,
0.887,0.0016,
0.888,0.00176,
0.889,0.00195,
0.89,0.00167,
0.891,0.000371,
0.892,-0.000565,
0.893,0.000422,
0.894,-0.000121,
0.895,0.001696,
0.896,0.001381,
0.897,0.000821,
0.898,0.00058,
0.899,-0.00154,
0.9,-0.001855,
0.901,-0.003595,
0.902,-0.003296,
0.903,-0.002659,
0.904,-0.001418,
0.905,0.000458,
0.906,0.001612,
0.907,0.00169,
0.908,0.00169,
0.909,0.001432,
0.91,0.000602,
0.911,0.00058,
0.912,-0.000234,
0.913,-0.000691,
0.914,2.98E-05,
0.915,0.000757,
0.916,0.000934,
0.917,0.001693,
0.918,0.001429,
0.919,-0.000755,
0.92,-0.002405,
0.921,-0.003798,
0.922,-0.003853,
0.923,-0.002659,
0.924,-0.001508,
0.925,-0.000205,
0.926,0.001323,
0.927,0.002677,
0.928,0.002166,
0.929,0.001767,
0.93,0.001487,
0.931,-0.000147,
0.932,-0.000224,
0.933,-0.000736,
0.934,0.000342,
0.935,0.001622,
0.936,0.001973,
0.937,0.001378,
0.938,0.001075,
0.939,-0.001102,
0.94,-0.001675,
0.941,-0.003763,
0.942,-0.004731,
0.943,-0.00281,
0.944,-0.001321,
0.945,0.000181,
0.946,0.001217,
0.947,0.003092,
0.948,0.002487,
0.949,0.002828,
0.95,0.000876,
0.951,0.000284,
0.952,-0.000375,
0.953,-0.000813,
0.954,0.000329,
0.955,0.001503,
0.956,0.001252,
0.957,0.001185,
0.958,0.001545,
0.959,-0.000559,
0.96,-0.003045,
0.961,-0.003518,
0.962,-0.004181,
0.963,-0.003531,
0.964,-0.001659,
0.965,-5.06E-05,
0.966,0.001567,
0.967,0.003336,
0.968,0.002465,
0.969,0.002217,
0.97,0.000792,
0.971,-0.000778,
0.972,-0.000697,
0.973,0.00048,
0.974,-0.000273,
0.975,0.001609,
0.976,0.002722,
0.977,0.003198,
0.978,0.00123,
0.979,-0.000752,
0.98,-0.002016,
0.981,-0.003338,
0.982,-0.004306,
0.983,-0.002331,
0.984,-0.002055,
0.985,-8.76E-06,
0.986,0.001371,
0.987,0.002947,
0.988,0.002449,
0.989,0.002536,
0.99,0.000744,
0.991,0.001091,
0.992,-0.000562,
0.993,-0.001083,
0.994,0.000187,
0.995,0.000959,
0.996,0.002815,
0.997,0.001844,
0.998,0.001156,
0.999,-0.001067,
